regionid,intervals,first_interval,last_interval,average_rrp,min_rrp,max_rrp,average_demand_mw,max_demand_mw,average_available_generation_mw,average_netinterchange_mw
NSW1,8063,2026-02-01 00:05:00,2026-02-28 23:55:00,83.76218740543223,-82.96215,20300.0,7872.512299392286,12969.33,14385.235495989085,-434.56130720575464
VIC1,8063,2026-02-01 00:05:00,2026-02-28 23:55:00,45.05545465707553,-715.10671,269.77601,4692.430162470544,8786.93,10146.731392372567,654.2238930919012
