regionid,intervals,average_rrp,median_rrp,min_rrp,max_rrp,spike_intervals,average_demand_mw,max_demand_mw,average_available_generation_mw,average_supply_demand_gap_mw,average_netinterchange_mw,average_price_change,max_price_increase,max_price_decrease,average_rolling_volatility_1h,max_rolling_volatility_1h
NSW1,8063,83.76218740543223,65.39029,-82.96215,20300.0,53,7872.512299392286,12969.33,14385.235495989085,6512.723196596799,-434.56130720575464,1.9846192047291652e-08,19842.65742,-19827.28218,45.6588561987278,6187.4112168866295
VIC1,8063,45.05545465707553,46.62014,-715.10671,269.77601,0,4692.430162470544,8786.93,10146.731392372567,5454.301229902021,654.2238930919012,0.0006908992805755391,552.70748,-731.50671,9.967064422333964,212.7431802577089
