settlementdate,regionid,rrp,intervention,totaldemand,availablegeneration,netinterchange,intervention_regionsum,supply_demand_gap,price_spike_flag,price_change,rolling_rrp_volatility_1h,date,hour,weekday,is_weekend,active_constraint_count,max_constraint_marginal_value,total_constraint_marginal_value,violation_flag,max_violation_degree
2026-02-05 16:00:00,NSW1,599.97,0,11775.33,14959.43724,-1070.65,0,3184.1072399999994,True,-0.0099999999999909,225.22751065582867,2026-02-05,16,Thursday,False,25,3.96,-5572.63617,False,0
2026-02-05 15:25:00,NSW1,599.97,0,10867.67,15122.40877,-675.46,0,4254.73877,True,351.09000000000003,6159.984012704793,2026-02-05,15,Thursday,False,23,4.96,-4394.9520999999995,False,0
2026-02-05 15:50:00,NSW1,599.96,0,11633.24,15200.47096,-1003.84,0,3567.230960000001,True,229.90413,228.50578949219897,2026-02-05,15,Thursday,False,24,4.34,-7613.2464,False,0
2026-02-05 16:30:00,NSW1,599.36,0,11944.15,14485.88951,-1191.33,0,2541.7395100000012,True,-0.6499999999999773,147.70274656886693,2026-02-05,16,Thursday,False,27,4.34,-5591.5071800000005,False,0
2026-02-07 15:10:00,NSW1,588.88,0,10518.84,13765.29627,-348.85,0,3246.4562700000006,True,482.04,157.72731683024068,2026-02-07,15,Saturday,True,19,9.62,-1221.09121,False,0
2026-02-11 16:10:00,NSW1,558.81108,0,11979.45,14933.06568,-797.25,0,2953.615679999999,True,-128.06373000000008,211.6223658429079,2026-02-11,16,Wednesday,False,26,5.95,-9893.78389,False,0
2026-02-11 16:15:00,NSW1,535.32813,0,12083.04,14933.85517,-599.08,0,2850.81517,True,-23.48294999999996,188.87496344575536,2026-02-11,16,Wednesday,False,24,12.16,-9587.66634,False,0
2026-02-11 16:20:00,NSW1,523.78685,0,12158.09,15227.7491,-585.58,0,3069.6591000000008,True,-11.541280000000029,167.86757954694477,2026-02-11,16,Wednesday,False,25,13.95,-8173.994350000001,False,0
2026-02-11 16:25:00,NSW1,514.05842,0,12293.28,15420.36984,-643.08,0,3127.0898399999987,True,-9.728430000000005,157.0638326510907,2026-02-11,16,Wednesday,False,27,24.37858,-8148.92163,False,0
2026-02-11 16:30:00,NSW1,508.45661,0,12432.41,15082.19701,-677.97,0,2649.78701,True,-5.601809999999944,137.28242101772992,2026-02-11,16,Wednesday,False,28,13.8668,-8463.854440000001,False,0
2026-02-11 17:15:00,NSW1,492.13999,0,12733.13,14484.6239,141.55,0,1751.4939000000013,True,297.06342,214.02789588219989,2026-02-11,17,Wednesday,False,29,5.95,-6222.78586,False,0
2026-02-11 15:50:00,NSW1,485.62038,0,11310.95,15261.76788,-44.78,0,3950.8178799999982,True,-114.37962,171.5734860391037,2026-02-11,15,Wednesday,False,24,4.95,-7315410.5415,False,0
2026-02-05 14:35:00,NSW1,472.71782,0,10061.89,15816.09028,394.08,0,5754.200280000001,True,-19827.28218,5784.442097849111,2026-02-05,14,Thursday,False,22,9.19,-3708.87023,False,0
2026-02-05 14:25:00,NSW1,457.34258,0,10002.96,15678.67973,946.77,0,5675.719730000001,True,134.01127000000002,106.19008438921246,2026-02-05,14,Thursday,False,24,7.16,-3934.48385,False,0
2026-02-11 17:20:00,NSW1,434.91476,0,12727.83,14048.42119,77.07,0,1320.5911899999992,True,-57.22523000000001,213.15523012391435,2026-02-11,17,Wednesday,False,26,7.76,-5953.88013,False,0
2026-02-11 16:55:00,NSW1,422.07139,0,12541.85,14783.07719,99.29,0,2241.2271899999996,True,-213.38718,81.20109617496072,2026-02-11,16,Wednesday,False,29,8.42,-6979.88554,False,0
2026-02-11 17:00:00,NSW1,403.47093,0,12504.78,14801.92248,207.81,0,2297.1424799999986,True,-18.60046,90.15885992546804,2026-02-11,17,Wednesday,False,27,5.32,-7121.32047,False,0
2026-02-05 14:45:00,NSW1,397.42835,0,10156.66,15765.10504,303.17,0,5608.4450400000005,True,-6983.3798,5943.83357887633,2026-02-05,14,Thursday,False,23,4.91,-3687.2576200000003,False,0
2026-02-05 15:45:00,NSW1,370.05587,0,11416.6,15003.54326,-929.79,0,3586.94326,True,70.30587000000003,2564.730784855518,2026-02-05,15,Thursday,False,26,4.96,-7162.8207600000005,False,0
2026-02-05 17:10:00,NSW1,368.06021,0,11821.26,14407.81263,-1239.04,0,2586.55263,True,68.24020999999999,2559.6104786776177,2026-02-05,17,Thursday,False,23,4.34,-5090.07205,False,0
2026-02-07 14:25:00,NSW1,344.48702,0,9550.01,14368.40177,-1074.58,0,4818.39177,True,237.64701999999997,77.51064965908067,2026-02-07,14,Saturday,True,20,5.98,-661.6783700000001,False,0
2026-02-07 15:55:00,NSW1,335.24238,0,10922.22,13884.52013,-466.62,0,2962.3001300000014,True,228.40238,148.46778372543665,2026-02-07,15,Saturday,True,18,5.56,-2984.76302,False,0
2026-02-05 14:20:00,NSW1,323.33131,0,9734.56,15676.10561,1396.33,0,5941.545610000001,True,23.581309999999977,77.8331244165206,2026-02-05,14,Thursday,False,22,26.8417,-6666.09161,False,0
2026-02-11 15:40:00,NSW1,305.45278,0,11149.53,15533.90347,801.09,0,4384.373469999999,True,60.10549000000003,98.33048913278398,2026-02-11,15,Wednesday,False,30,7.11255,-8718.67272,False,0
2026-02-05 17:50:00,NSW1,302.64788,0,11765.32,14285.5407,-1247.43,0,2520.2207,True,-616.24212,177.93746209913425,2026-02-05,17,Thursday,False,22,4.95,-3504.36662,False,0
2026-02-11 18:40:00,NSW1,300.91415,0,12666.88,12309.2071,-1149.66,0,-357.6728999999996,True,52.634150000000005,66.08700857362011,2026-02-11,18,Wednesday,False,21,16.45,-2793.43186,False,0
2026-02-05 17:35:00,NSW1,300.02,0,11731.75,14283.55966,-1212.61,0,2551.809660000001,True,0.2699999999999818,61.227286688267505,2026-02-05,17,Thursday,False,22,4.9,-3423.10585,False,0
