regionid,price_spike_flag,intervals,average_rrp,max_rrp,average_price_spread,average_absolute_price_spread,divergence_intervals,extreme_divergence_intervals,average_active_constraints,average_congestion_signal_count,vic_nsw_congestion_signal_intervals
NSW1,False,8010,68.323133360799,299.82,23.193711584269664,29.461063696629214,254,12,19.259051186017476,1.1488139825218477,1587
NSW1,True,53,2417.098468490566,20300.0,2383.2218181132075,2383.2218181132075,53,48,24.41509433962264,1.9433962264150944,11
VIC1,False,8063,45.05545465707553,269.77601,38.706732748356686,44.9328880776386,307,60,19.29294307329778,1.1540369589482822,1598
