regionid,spike_driver_classification,decision_confidence,market_situation,event_count,average_rrp,max_rrp,average_absolute_price_spread,average_congestion_signal_count,average_active_constraints
NSW1,Constraint-driven,High,Price spike occurred during elevated constraint activity.,27,1522.0147822222223,9914.02372,1478.041334074074,1.7037037037037037,26.59259259259259
NSW1,Interconnector/congestion-driven,High,Price spike occurred during interconnector or regional separation stress.,26,3346.608450384615,20300.0,3323.2169361538463,2.1923076923076925,22.153846153846153
