interconnectorid,intervals,average_flow,min_flow,max_flow,average_absolute_flow,max_absolute_flow,average_absolute_flow_change,max_absolute_flow_change,high_flow_intervals,high_flow_change_intervals,congestion_signal_intervals,congestion_signal_share_pct
N-Q-MNSP1,8058,2.364828741623232,-201.6,96.98,30.45830354926781,201.6,6.561459600347524,117.69999999999999,913,840,1557,19.322412509307522
NSW1-QLD1,8058,-152.74084760486474,-1298.52,950.0,372.61879746835444,1298.52,64.68710065781308,674.01,806,806,1555,19.2975924547034
T-V-MNSP1,8058,-52.84834450235791,-443.35,350.0,63.84441548771407,443.35,11.655682015638575,220.99,806,806,1446,17.944899478778854
V-S-MNSP1,8058,72.40666914867212,-159.79,213.25,103.89646562422438,213.25,12.540732282487276,117.0,806,806,1572,19.50856291883842
V-SA,8058,156.75527798461158,-683.32,698.41,314.067474559444,698.41,40.33857763435522,686.14,806,806,1577,19.57061305534872
VIC1-NSW1,8058,311.2426582278481,-1872.63,1300.76,513.6710176222388,1872.63,70.50453394563733,1447.09,806,806,1598,19.831223628691983
