regionid,price_spike_flag,intervals,average_rrp,max_rrp,average_total_absolute_flow,average_max_absolute_flow,average_max_absolute_flow_change,average_congestion_signal_count,congestion_signal_intervals,average_vic_nsw_absolute_flow,average_vic_nsw_absolute_flow_change,vic_nsw_congestion_signal_intervals
NSW1,False,8010,68.323133360799,299.82,1397.7271161048689,693.8075143570537,107.52220724094882,1.1488139825218477,5329,515.0357578027465,70.48152309612983,1587
NSW1,True,53,2417.098468490566,20300.0,1391.9598113207546,877.5658490566037,142.60792452830188,1.9433962264150944,49,258.9554716981132,66.00056603773585,11
VIC1,False,8063,45.05545465707553,269.77601,1397.6892062507752,695.0154012154285,107.75283393277935,1.1540369589482822,5378,513.3524817065609,70.45206870891728,1598
